"[2020-07-05 20:15:31] [INFO   ] [JTableAPI fillColumn] Поиск соответствия имен филиалов и подразделений в файле: src\main\resources\СтруктураПодразделений.xlsx
""[2020-07-05 20:15:31] [INFO   ] [ExcelAPI read] Чтение таблицы с диска путь: src\main\resources\СтруктураПодразделений.xlsx
""[2020-07-05 20:15:31] [INFO   ] [ExcelAPI read] Столбцов обнаружено: 2
""[2020-07-05 20:15:31] [INFO   ] [ExcelAPI read] Запись в память
""[2020-07-05 20:15:31] [INFO   ] [ExcelAPI create] Файл создан путь: src\main\Резервы20200705.xlsx
""[2020-07-05 20:15:31] [INFO   ] [ExcelAPI writeBook] Идет запись в таблицу
""[2020-07-05 20:15:40] [INFO   ] [ExcelAPI writeBook] Строк обработано: 22413; Столбцов обработано: 20
""[2020-07-05 20:15:40] [INFO   ] [ExcelAPI setStyle] Форматирование таблицы
""[2020-07-05 20:15:52] [INFO   ] [ExcelAPI writeToDisk] Запись на диск
""[2020-07-05 20:15:55] [INFO   ] [ExcelAPI writeToDisk] Файл записан
""[2020-07-05 20:15:55] [INFO   ] [Main main] Поиск соответствия имен филиалов и их сокращений в файле: src\main\resources\СокращенныеНазвания.xlsx
""[2020-07-05 20:15:55] [INFO   ] [ExcelAPI read] Чтение таблицы с диска путь: src\main\resources\СокращенныеНазвания.xlsx
""[2020-07-05 20:15:55] [INFO   ] [ExcelAPI read] Столбцов обнаружено: 2
""[2020-07-05 20:15:55] [INFO   ] [ExcelAPI read] Запись в память
""[2020-07-05 20:15:55] [INFO   ] [JTableAPI splitByField] Количество уникалных записей: 7
""[2020-07-05 20:15:55] [INFO   ] [JTableAPI splitByField] Поле: интернет магазин
""[2020-07-05 20:15:55] [INFO   ] [JTableAPI splitByField] Столбцов в таблице: 20; Строк в таблице: 1562
""[2020-07-05 20:15:55] [INFO   ] [JTableAPI splitByField] Поле: Питер
""[2020-07-05 20:15:55] [INFO   ] [JTableAPI splitByField] Столбцов в таблице: 20; Строк в таблице: 5597
""[2020-07-05 20:15:55] [INFO   ] [JTableAPI splitByField] Поле: Челомея
""[2020-07-05 20:15:55] [INFO   ] [JTableAPI splitByField] Столбцов в таблице: 20; Строк в таблице: 3796
""[2020-07-05 20:15:55] [INFO   ] [JTableAPI splitByField] Поле: Станколит
""[2020-07-05 20:15:55] [INFO   ] [JTableAPI splitByField] Столбцов в таблице: 20; Строк в таблице: 1888
""[2020-07-05 20:15:55] [INFO   ] [JTableAPI splitByField] Поле: Новосибирск
""[2020-07-05 20:15:55] [INFO   ] [JTableAPI splitByField] Столбцов в таблице: 20; Строк в таблице: 3209
